intent,text
greeting,Merhaba
greeting,Selam
greeting,İyi günler
greeting,Nasılsınız
greeting,Hey oradaki
greeting,Herkese merhaba
greeting,Size nasıl yardımcı olabilirim
greeting,Hoşgeldiniz
greeting,İyi akşamlar
greeting,Günaydın
greeting,Selamlar
greeting,Merhabalar
greeting,Herkese selam
greeting,Nasıl gidiyor
greeting,Hey
greeting,Herkese iyi günler
greeting,Selamün aleyküm
greeting,Merhaba arkadaşlar
greeting,İyi sabahlar
greeting,Naber
product_inquiry,Bu ürünün fiyatı nedir
product_inquiry,Bu ürün hakkında bilgi alabilir miyim
product_inquiry,Hangi renklerde mevcut
product_inquiry,Bu ürünün özellikleri nelerdir
product_inquiry,Stokta var mı
product_inquiry,Bu ürün ne zaman gelecek
product_inquiry,Benzer ürünler var mı
product_inquiry,İndirimli ürünler hangileri
product_inquiry,En çok satan ürünler
product_inquiry,Yeni ürünler hangileri
product_inquiry,Bu kategori hangi ürünleri içeriyor
product_inquiry,Ürün karşılaştırması yapabilir misiniz
product_inquiry,Bu marka hangi ürünleri var
product_inquiry,Fiyat aralığı nedir
product_inquiry,Bu ürünün garantisi var mı
product_inquiry,Teknik özellikler nelerdir
product_inquiry,Kullanıcı yorumları nasıl
product_inquiry,Bu ürün için kampanya var mı
product_inquiry,Benzer fiyatta alternatifler
product_inquiry,Bu ürünün boyutları nedir
order_status,Siparişim nerede
order_status,Sipariş durumu ne
order_status,Siparişim ne zaman gelecek
order_status,Kargo takip numarası nedir
order_status,Siparişim hazırlandı mı
order_status,Teslimat tarihi ne zaman
order_status,Siparişim yola çıktı mı
order_status,Kargo firması hangisi
order_status,Sipariş numarası ile sorgulama
order_status,Siparişim hangi aşamada
order_status,Teslimat adresi doğru mu
order_status,Siparişim iptal edildi mi
order_status,Sipariş onaylandı mı
order_status,Kargo ücreti ne kadar
order_status,Hızlı teslimat seçeneği var mı
order_status,Siparişimi takip edebilir miyim
order_status,Teslimat süresi ne kadar
order_status,Sipariş detaylarını görebilir miyim
order_status,Fatura bilgileri nerede
order_status,Sipariş özetini görmek istiyorum
cart_operations,Sepete ekle
cart_operations,Sepetten çıkar
cart_operations,Sepetimi göster
cart_operations,Sepet boş mu
cart_operations,Sepet toplamı ne kadar
